neighbourhood_group,average_price,total_listings
Bronx,88.77594568380214,1031
Brooklyn,125.53764038696764,17986
Manhattan,192.2407438620147,17799
Queens,99.9111501659832,5121
Staten Island,113.38746438746439,351
